"site","sensor_number","date_time","date","time","temp_durafet_c","p_h","tide","temp_c","temp_hobo_c"
"Alegria",4,2021-06-18 01:15:00,"06/18/2021","01:15:00",16.12788985,7.842363333,2.931996,16.7944444444444,NA
"Alegria",4,2021-06-18 01:30:00,"06/18/2021","01:30:00",16.11488695,7.841745701,3.030151,16.7611111111111,NA
"Alegria",4,2021-06-18 01:45:00,"06/18/2021","01:45:00",16.10723666,7.843553083,3.129757,16.7611111111111,NA
"Alegria",4,2021-06-18 02:00:00,"06/18/2021","02:00:00",16.0830924,7.848255551,3.228431,16.7388888888889,NA
"Alegria",4,2021-06-18 02:15:00,"06/18/2021","02:15:00",16.10388895,7.84908023,3.324108,16.75,NA
"Alegria",4,2021-06-18 02:30:00,"06/18/2021","02:30:00",16.08794502,7.849622608,3.414633,16.7277777777778,NA
"Alegria",4,2021-06-18 02:45:00,"06/18/2021","02:45:00",16.08235792,7.849338843,3.497909,16.7277777777778,NA
"Alegria",4,2021-06-18 03:00:00,"06/18/2021","03:00:00",16.02890425,7.856368955,3.572013,16.6444444444444,NA
"Alegria",4,2021-06-18 03:15:00,"06/18/2021","03:15:00",15.98351693,7.862788117,3.634906,16.5888888888889,NA
"Alegria",4,2021-06-18 03:30:00,"06/18/2021","03:30:00",15.94703378,7.863825996,3.68497,16.5444444444444,NA
"Alegria",4,2021-06-18 03:45:00,"06/18/2021","03:45:00",15.91947871,7.867599212,3.720693,16.5333333333333,NA
"Alegria",4,2021-06-18 04:00:00,"06/18/2021","04:00:00",15.88392882,7.867573169,3.740801,16.5111111111111,NA
"Alegria",4,2021-06-18 04:15:00,"06/18/2021","04:15:00",15.8518019,7.870135372,3.744185,16.4722222222222,NA
"Alegria",4,2021-06-18 04:30:00,"06/18/2021","04:30:00",15.80474852,7.872327861,3.72982,16.4166666666667,NA
"Alegria",4,2021-06-18 04:45:00,"06/18/2021","04:45:00",15.76792488,7.882044699,3.697058,16.3611111111111,NA
"Alegria",4,2021-06-18 05:00:00,"06/18/2021","05:00:00",15.71925694,7.901637534,3.64577,16.3222222222222,NA
"Alegria",4,2021-06-18 05:15:00,"06/18/2021","05:15:00",15.6841021,7.910241275,3.575959,16.3,NA
"Alegria",4,2021-06-18 05:30:00,"06/18/2021","05:30:00",15.67033469,7.912582699,3.488208,16.2888888888889,NA
"Alegria",4,2021-06-18 05:45:00,"06/18/2021","05:45:00",15.64572375,7.914127279,3.383067,16.2777777777778,NA
"Alegria",4,2021-06-18 06:00:00,"06/18/2021","06:00:00",15.62197198,7.919979955,3.261812,16.2444444444444,NA
"Alegria",4,2021-06-18 06:15:00,"06/18/2021","06:15:00",15.58745707,7.923252098,3.12551,16.2111111111111,NA
"Alegria",4,2021-06-18 06:30:00,"06/18/2021","06:30:00",15.56059729,7.930949431,2.976067,16.1833333333333,NA
"Alegria",4,2021-06-18 06:45:00,"06/18/2021","06:45:00",15.53801412,7.937731668,2.815003,16.1611111111111,NA
"Alegria",4,2021-06-18 07:00:00,"06/18/2021","07:00:00",15.52119937,7.93886419,2.644744,16.1388888888889,NA
"Alegria",4,2021-06-18 07:15:00,"06/18/2021","07:15:00",15.4799725,7.945280053,2.467371,16.0944444444444,NA
"Alegria",4,2021-06-18 07:30:00,"06/18/2021","07:30:00",15.41198308,7.94979442,2.285089,16.0222222222222,NA
"Alegria",4,2021-06-18 07:45:00,"06/18/2021","07:45:00",15.37243121,7.951481751,2.100824,15.9888888888889,NA
"Alegria",4,2021-06-18 08:00:00,"06/18/2021","08:00:00",15.33247401,7.952424516,1.916778,15.9444444444444,NA
"Alegria",4,2021-06-18 08:15:00,"06/18/2021","08:15:00",15.24769103,7.957828879,1.735995,15.8277777777778,NA
"Alegria",4,2021-06-18 08:30:00,"06/18/2021","08:30:00",15.20977415,7.961413418,1.560717,15.85,NA
"Alegria",4,2021-06-18 08:45:00,"06/18/2021","08:45:00",15.18443515,7.966185029,1.393922,15.8055555555556,NA
"Alegria",4,2021-06-18 09:00:00,"06/18/2021","09:00:00",15.16764163,7.972259925,1.237752,15.8166666666667,NA
"Alegria",4,2021-06-18 09:15:00,"06/18/2021","09:15:00",15.17906332,7.980377986,1.094935,15.8388888888889,NA
"Alegria",4,2021-06-18 09:30:00,"06/18/2021","09:30:00",15.21488493,7.9945594,0.967379,15.8944444444444,NA
"Alegria",4,2021-06-18 12:15:00,"06/18/2021","12:15:00",15.8045606,8.154426681,0.962769,16.6333333333333,NA
"Alegria",4,2021-06-18 12:30:00,"06/18/2021","12:30:00",15.90404661,8.159113693,1.09583,16.6944444444444,NA
"Alegria",4,2021-06-18 12:45:00,"06/18/2021","12:45:00",16.04529362,8.152755916,1.247594,16.8666666666667,NA
"Alegria",4,2021-06-18 13:00:00,"06/18/2021","13:00:00",16.21839987,8.144306714,1.416245,17.0611111111111,NA
"Alegria",4,2021-06-18 13:15:00,"06/18/2021","13:15:00",16.29622764,8.140029617,1.599734,17.0833333333333,NA
"Alegria",4,2021-06-18 13:30:00,"06/18/2021","13:30:00",16.27530571,8.133788182,1.795575,16.9833333333333,NA
"Alegria",4,2021-06-18 13:45:00,"06/18/2021","13:45:00",16.23476389,8.124923046,2.001772,16.8666666666667,NA
"Alegria",4,2021-06-18 14:00:00,"06/18/2021","14:00:00",16.24569146,8.117056514,2.215533,16.9444444444444,NA
"Alegria",4,2021-06-18 14:15:00,"06/18/2021","14:15:00",16.25308511,8.114475072,2.43417,16.9222222222222,NA
"Alegria",4,2021-06-18 14:30:00,"06/18/2021","14:30:00",16.30162321,8.11116944,2.654676,17.0277777777778,NA
"Alegria",4,2021-06-18 14:45:00,"06/18/2021","14:45:00",16.32842724,8.109267658,2.874758,17.0277777777778,NA
"Alegria",4,2021-06-18 15:00:00,"06/18/2021","15:00:00",16.37542479,8.107225388,3.091386,17.0722222222222,NA
"Alegria",4,2021-06-18 15:15:00,"06/18/2021","15:15:00",16.40170905,8.100164308,3.301824,17.0944444444444,NA
"Alegria",4,2021-06-18 15:30:00,"06/18/2021","15:30:00",16.4342234,8.097939357,3.50342,17.1166666666667,NA
"Alegria",4,2021-06-18 15:45:00,"06/18/2021","15:45:00",16.4871222,8.106869682,3.693439,17.2111111111111,NA
"Alegria",4,2021-06-18 16:00:00,"06/18/2021","16:00:00",16.52765576,8.117811215,3.869937,17.2222222222222,NA
"Alegria",4,2021-06-18 16:15:00,"06/18/2021","16:15:00",16.58801886,8.119947508,4.030516,17.2944444444444,NA
"Alegria",4,2021-06-18 16:30:00,"06/18/2021","16:30:00",16.58395475,8.132191358,4.173218,17.2333333333333,NA
"Alegria",4,2021-06-18 16:45:00,"06/18/2021","16:45:00",16.62259605,8.134308192,4.296212,17.3166666666667,NA
"Alegria",4,2021-06-18 17:00:00,"06/18/2021","17:00:00",16.65867976,8.13444774,4.398345,17.3388888888889,NA
"Alegria",4,2021-06-18 17:15:00,"06/18/2021","17:15:00",16.68701794,8.12996984,4.478334,17.3833333333333,NA
"Alegria",4,2021-06-18 17:30:00,"06/18/2021","17:30:00",16.71799658,8.128708015,4.535357,17.4055555555556,NA
"Alegria",4,2021-06-18 17:45:00,"06/18/2021","17:45:00",16.75925382,8.117599412,4.568892,17.4555555555556,NA
"Alegria",4,2021-06-18 18:00:00,"06/18/2021","18:00:00",16.75228379,8.103962868,4.578848,17.4277777777778,NA
"Alegria",4,2021-06-18 18:15:00,"06/18/2021","18:15:00",16.70852696,8.09951562,4.565068,17.3277777777778,NA
"Alegria",4,2021-06-18 18:30:00,"06/18/2021","18:30:00",16.66710802,8.098661184,4.527926,17.2944444444444,NA
"Alegria",4,2021-06-18 18:45:00,"06/18/2021","18:45:00",16.59456319,8.090376904,4.468197,17.2111111111111,NA
"Alegria",4,2021-06-18 19:00:00,"06/18/2021","19:00:00",16.55951532,8.095407772,4.387088,17.1888888888889,NA
"Alegria",4,2021-06-18 19:15:00,"06/18/2021","19:15:00",16.5543518,8.099711845,4.286085,17.2111111111111,NA
"Alegria",4,2021-06-18 19:30:00,"06/18/2021","19:30:00",16.56294463,8.094904348,4.167101,17.2222222222222,NA
"Alegria",4,2021-06-18 19:45:00,"06/18/2021","19:45:00",16.55940002,8.08713954,4.031899,17.2222222222222,NA
"Alegria",4,2021-06-18 20:00:00,"06/18/2021","20:00:00",16.56759637,8.079252756,3.882853,17.2333333333333,NA
"Alegria",4,2021-06-18 20:15:00,"06/18/2021","20:15:00",16.55321215,8.07015914,3.722409,17.2,NA
"Alegria",4,2021-06-18 20:30:00,"06/18/2021","20:30:00",16.52627076,8.063148708,3.553354,17.1555555555556,NA
"Alegria",4,2021-06-18 20:45:00,"06/18/2021","20:45:00",16.47736717,8.056238666,3.378022,17.1055555555556,NA
"Alegria",4,2021-06-18 21:00:00,"06/18/2021","21:00:00",16.44169328,8.053151177,3.199376,17.0611111111111,NA
"Alegria",4,2021-06-18 21:15:00,"06/18/2021","21:15:00",16.42591734,8.04697534,3.020221,17.0611111111111,NA
"Alegria",4,2021-06-18 21:30:00,"06/18/2021","21:30:00",16.39483061,8.04590258,2.843538,17.0277777777778,NA
"Alegria",4,2021-06-18 21:45:00,"06/18/2021","21:45:00",16.34832302,8.037320359,2.671656,16.9777777777778,NA
"Alegria",4,2021-06-18 22:00:00,"06/18/2021","22:00:00",16.29930605,8.030946473,2.507393,16.9111111111111,NA
"Alegria",4,2021-06-18 22:15:00,"06/18/2021","22:15:00",16.21300373,8.029910856,2.353217,16.8055555555556,NA
"Alegria",4,2021-06-18 22:30:00,"06/18/2021","22:30:00",16.16592527,8.023568834,2.21156,16.7722222222222,NA
"Alegria",4,2021-06-18 22:45:00,"06/18/2021","22:45:00",16.09840984,8.02168411,2.084162,16.7055555555556,NA
"Alegria",4,2021-06-18 23:00:00,"06/18/2021","23:00:00",16.04899909,8.017213316,1.972987,16.6722222222222,NA
"Alegria",4,2021-06-18 23:15:00,"06/18/2021","23:15:00",16.00165926,8.011644636,1.879545,16.5888888888889,NA
"Alegria",4,2021-06-18 23:30:00,"06/18/2021","23:30:00",15.95664998,8.009320897,1.805108,16.5666666666667,NA
"Alegria",4,2021-06-18 23:45:00,"06/18/2021","23:45:00",15.91878764,8.00872443,1.750377,16.5333333333333,NA
"Alegria",4,2021-06-19 00:00:00,"06/19/2021","00:00:00",15.88407464,8.000618902,1.715968,16.4944444444444,NA
"Alegria",4,2021-06-19 00:15:00,"06/19/2021","00:15:00",15.8201715,7.994010655,1.702048,16.4166666666667,NA
"Alegria",4,2021-06-19 00:30:00,"06/19/2021","00:30:00",15.75248302,7.991735449,1.708269,16.3555555555556,NA
"Alegria",4,2021-06-19 00:45:00,"06/19/2021","00:45:00",15.6765403,7.988115766,1.73379,16.2666666666667,NA
"Alegria",4,2021-06-19 01:00:00,"06/19/2021","01:00:00",15.57536751,7.985345332,1.777815,16.15,NA
